	가사
10	"머리엔 왁스 바르고
3CM 깔창도 끼고
진심은 통한다 생각 하는 너
니 말이 틀린건 아냐
그건 이론일 뿐야
차라리 그렇게 생각하자
왁스 바른 니 머릴 보고
사람들은 멋있다
말 하지만 그건 너랑 친하지 않아서
넌 왁스 발라도 못 생겼어
넌 왁스 발라도 못 생겼어
고백 하지마 너
생각도 하지마 너
너를 진심으로 생각하고 말할게
절대 성공 못 할거야
상처만 받을거야
하지마 고백하지마 제발
니가 착하고 순수한 사람이란 걸 알아
고백이 성공 하길 진심으로 바래
하지만 현실적으로 불가능한 일이야
니가 성공하면 내 손에 장을 지질게
아니 내 성을 갈게
내 성을 갈아서 니 여자친구가 될게
그 정도로 불가능한 일이야
왁스 바른 니 머릴 보고
사람들은 멋있다 말 하지만 그건 너랑
친하지 않아서
넌 왁스 발라도 못 생겼어
넌 왁스 발라도 못 생겼어
고백 하지마 너
생각도 하지마 너
너를 진심으로 생각하고 말할게
절대 성공 못 할거야
상처만 받을거야
하지마 고백하지마
죽이 되는 밥이 되든
한번 해보겠다는 말은 하지마
분명 죽이 될테니까"
11	"죽도록 힘겨워도
몸서리치게 외로워도
너를 그리워하지 않는 게
더 쓸쓸한 일인데
늘 니 생각 하나에 살고
하룰 다 써도 모자라서
다음날도 그다음 날에도
더해가는 그리움에
또 하루가 흘러 또 한 달이 흘러
일 년이라는 시간이 흘러
자꾸만 느는 거짓말 같은 날이
날 반기지만
천 걸음을 가도 만 걸음을 걸어도
난 언제나 제자리 걸음
떠나고 싶어도 못 떠나
니가 와줄까 봐
니 소리에 심장이 멎고
너의 미소에 몸이 굳어
사랑한다 너를 사랑한다
입술도 채 떼기 전에
또 하루가 흘러 또 한 달이 흘러
일 년이라는 시간이 흘러
자꾸만 느는 거짓말 같은 날이
날 반기지만
천 걸음을 가도 만 걸음을 걸어도
난 언제나 제자리 걸음
떠나고 싶어도 못 떠나
니가 와줄까 봐
Always be there
왜 항상 사랑은 받는
너에겐 관대한 거니
이렇게 널 잊지 못한
내 앞에선 눈물 나게 하면서
I'll be here for you forever
내 맘이 널 불러 또 이렇게 불러
네게 닿지 못해도 널 불러
잊는 것보다 아픈 게 나은 거라
난 믿으니까
안 돌아와도 돼 날 사랑 안 해도 돼
넌 내 안에 제자리 걸음
보내고 싶어도 못 보내
널 사랑하니까"
12	"꼭 설레었던 꿈결처럼
이내 흩어져 버릴 것처럼
눈을 뜨면 조금 나아질 거라
그냥 그렇게 생각하려고
더는 내가 없던 네 마음과
애써 외면하던 네 눈가에
바람 되어 닿을 수만 있다면
괜찮아질 거라 믿었었나 봐
So far away 너 떠나간 후에
하루도 거르지 않고 네 얘기뿐
난 아니야 이건 아니야
멀어지지 않잖아
이런 내 맘 알지 못하고
돌아서던 그날
혹시 더 좋은 사람 만나서
많이 웃으며 잘 지내는지
못다 한 말들이 너무 많아서
혼자 불러보는 그리운 이름
So far away 너 떠나간 후에
하루도 거르지 않고 네 얘기뿐
난 아니야 이건 아니야
멀어지지 않잖아
이런 내 맘 알지 못하고
돌아서던 그날
아주 오랜 후에야 느낄 수 있을까
그게 너였다는 걸 사랑이었다는 걸
두 번 다시 올 수 없다는 걸
So far away 너 떠나간 후에
하루도 거르지 않고 네 얘기뿐
난 아니야 이건 아니야
멀어지지 않잖아
이런 내 맘 알지 못하고
돌아서던 그날"
13	"계절이 다 잠든 밤
감은 눈 위로 쌓인 바람
너와 나
한 번의 닿음과순간
수많은 다름 사이
이렇게 우린보고 있어
나의 가슴 한편에
이유 없는 그리움마저
어루만지고서
의미 없는 말을 안아줘
진심인 듯 알아줘
우연은 운명일 테니까
빛이 아른한 내 맘이
빛이 가득한 네 맘에
기쁜 울먹임이 되는 밤
부서지지 않게
움츠렸던 겨울이
겨우 된 건 네 눈에 잠길 때
계절이 다 잠든 밤
감은 눈 위로 스친 바람
너와 나한 번의 다름과순간
수많은 같음 사이
이렇게 우린 보고 있어
사라진 추억들에
덩그러니 낙엽만 남아
쓸쓸함만 남던
내 의미 없는 말을 안아줘
진심인 듯 알아줘
운명은 분명일 테니까
빛이 아른한 내 맘이
빛이 가득한 네 맘에
기쁜 울먹임이 되는 밤
부서지지 않게
움츠렸던 겨울이
겨우 된 건 네 눈에 잠길 때
빛이 아른한 내 맘이
빛이 가득한 네 맘에
기쁜 울먹임이 되는 밤
부서지지 않게
움츠렸던 겨울이
겨우 된 건 네 눈에 잠길 때
빛이 아른한 내 맘이
빛이 가득한 네 맘에
기쁜 울먹임이 되는 밤
부서지지 않게
움츠렸던 겨울이
이제서야 겨우 된 건"
14	"왜 자꾸 그러니
우리 헤어진 게 맞잖아
이제야 조금씩 익숙해져 가는데
이렇게 다시 찾아와
내 앞에서 울면 어떻게
약속했잖아
만나지 말자고
더 남아있었던 네 마음이
또다시 나에게 찾아와도
결국 끝이 보일 뿐이야 우린
다신 나를 찾아오지 마
이미 모두 끝난 사이야
우리 다시 만난다 해도
틀림없이 같은 이유로
결국 헤어질게 뻔해
다시 내게 돌아오지 마
우린 또 반복일 뿐이야
서로 좋았었던 기억들만
가질 수 있게
우리 여기까지 하자
아무리 노력해도
너무 다른 우리였잖아
몇 번에 이별을 더해야 멈추겠니
서로가 상처만 주는
이런 사랑에 지쳐만 가
끝이 보이는
시작이 두려워
버리지 못했던 그 미련에
아닌 걸 알면서 돌아와도
결국 끝이 보일 뿐이야 우린
다신 나를 찾아오지 마
이미 모두 끝난 사이야
우리 다시 만난다 해도
틀림없이 같은 이유로
결국 헤어질게 뻔해
다시 내게 돌아오지 마
우린 또 반복일 뿐이야
서로 좋았었던 기억들만
가질 수 있게
우리 여기까지 하자
깨져버린 사랑을
억지로 붙이려 해봐도
안되는걸 알잖아
두 번 다시 우리 만나지 말자
서로가 할만큼 다 했잖아
사랑했던 만큼 가슴 아파 힘들겠지만
우리 여기까지 하자"
15	"한 번만 말을 하고
그렇게 가버리면 나는 어쩌니
시간 필요한걸
그렇게 쉬운 사랑이란 걸
미처 몰랐어 알기엔 너무 늦었는걸
너 어쩌라고 또다시 그런 거짓말
너 정말 대책 없는 말을 해
아마도 내가 너무 쉽게
내 맘을 줬나 봐
나란 사람은 이미 쉬운 거야
끝이 없는 말 그 말
매번 같은 거짓말
길들여진 그 말
너무나 뻔한 거짓말
자꾸 왜 이래 왜 이래 이래저래
왜 이래 왜 이래 대체 너는
NO 더 이상 미련 갖지 않겠어
끝없는 말 그 말 매번 같은 거짓말
길들여진 그 말 너무나 뻔한 거짓말
자꾸 왜 이래 왜 이래 이래저래
왜 이래 왜 이래 대체 너는
NO 더 이상 미련 갖지 않겠어
거짓말은 가줘 뻔한 말도 가줘
아주 기막혀 OH NO
이럴 거면 가줘 어쩌라고 그러니
알았으니 가줘 너랑 사랑 안 할래
내가 더 싫어
OH 왜니 OH 왜니 어쩌니
끝없는 말 그 말 매번 같은 거짓말
길들여진 그 말 너무나 뻔한 거짓말
자꾸 왜 이래 왜 이래 이래저래
왜 이래 왜 이래 대체 너는
NO 더 이상 미련 갖지 않겠어
NO 더 이상 미련 갖지 않겠어"
16	"나의 모든 사랑이 떠나가는 날이
당신의 그 웃음 뒤에서
함께하는데
철이 없는 욕심에 그 많은 미련에
당신이 있는 건 아닌지
아니겠지요
시간은 멀어 집으로 향해가는데
약속했던 그대만은
올 줄을 모르고
애써 웃음 지으며 돌아오는 길은
왜 그리도 낯설고 멀기만 한지
저 여린 가지 사이로
혼자인 날 느낄 때
이렇게 아픈 그대 기억이 날까
내 사랑 그대 내 곁에 있어줘
이 세상 하나뿐인 오직 그대만이
힘겨운 날에 너마저 떠나면
비틀거릴 내가 안길 곳은 어디에
저 여린 가지 사이로
혼자인 날 느낄 때
이렇게 아픈 그대 기억이 날까
내 사랑 그대 내 곁에 있어줘
이 세상 하나뿐인 오직 그대만이
힘겨운 날에 너마저 떠나면
비틀거릴 내가 안길 곳은 어디에
내 사랑 그대 내 곁에 있어줘
이 세상 하나뿐인 오직 그대만이
힘겨운 날에 너마저 떠나면
비틀거릴 내가 안길 곳은 어디에
비틀거릴 내가 안길 곳은 어디에"
17	"더디게 지나간다
생각했던 시간도
어느새 희미하게
흩어져 버린
너와의 기억들
우리가 걸었던 계절들 속엔
닿을 수 없는 추억들만 남아
매일 밤 미뤘었던 내 마음
이젠 차가운 밤 공기에 실어
너에게 보낸다
널 붙잡기 위해서 이 노랠 부르며
내 맘을 고백해
이런 나의 마음을 너는 알고 있을까
함께 했었던 그 모든 것들을
널 붙잡기 위해서 노래를 부르며
내 맘을 고백해
이런 나의 마음을 넌 받아주겠니
우리의 이별은
아직 내겐 더 먼 얘기니까
기울어진 기억만 붙잡고 지내
길었던 그때 우리의 이야기
끝맺지 못했었던 내 마음
이젠 차가운 밤 공기에 실어
너에게 보낸다
널 붙잡기 위해서 이 노랠 부르며
내 맘을 고백해
이런 나의 마음을 너는 알고 있을까
함께 했었던 그 모든 것들을
널 붙잡기 위해서 노래를 부르며
내 맘을 고백해
이런 나의 마음을 넌 받아주겠니
우리의 이별은
아직 내겐 더 먼 얘기니까"
18	"매미 소리도
지쳐 잠잠한 날
선풍기 앞에 누워
밀린 일기를 쓴다
보고 싶은 할머니 얼굴 그 손길
속 깊은 따스한 마음
처마 아래서 모여 먹던
시원한 수박까지
오오 보고 싶을 거야
그리운 그 사람들
소중했던 여름날의 추억
완벽했던 우리의
방학숙제
반짝이는 별들 아래서 모여
나누던 이야기들
밤 새워 듣던 노래 소리
웃음이 끊이지 않던
오오 보고 싶을 거야
그리운 그 순간들
잊지 못할 여름밤의 추억
완벽했던 우리의
방학숙제
완벽했던 우리의
방학숙제"
19	"고된 하루가 끝나고 늦은 밤
집에 가는 길 나 홀로 버스에 앉아
나 혼자 느끼는 세상과 나의 벽
답답한 마음에 한숨을 내뱉고
알 수 없는 뭔가가
내 맘을 조여오는 이 밤
하늘을 보고 얘기해요
누군가 내 얘길 들어주길
반짝이는 밤하늘의 별
저 어딘가에 그 누군가가
내 얘길 들어주기를
알 수 없는 뭔가가
내 맘을 조여오는 이 밤
하늘을 보고 얘기해요
누군가 내 얘길 들어주길
반짝이는 밤하늘의 별
저 어딘가에 그 누군가가
내 얘길 들어주기를
나 홀로 걷는 깜깜한 거리
길을 비추는 깜빡이는 가로등
나 홀로 걷는 이 거리에서
혼자 쓸쓸히 걸어가네
하늘을 보고 얘기해요
누군가 내 얘길 들어주길
반짝이는 밤하늘의 별
저 어딘가에 그 누군가가
내 얘길 들어주기를
하늘을 보고 얘기해요
누군가 내 얘길 들어주길
반짝이는 밤하늘의 별
저 어딘가에 그 누군가가
내 얘길 들어주기를
그 누군가가 내 얘길 들어주기를"
