	가사
20	"잘 지내니 건강하니
벌써 며칠이 지났나봐
단 하루도 힘들더니
이렇게 점점 변하나봐
웃고있는 너의 사진
첨엔 아파서 못봤는데
어제부턴 하루 종일
사진만 안고 지내는걸
가끔 내 생각도 해줄래
그럼 조금 나을것 같아
혼자서도 몇번씩은
중얼거려 널 사랑해
늘 미안했어 늘 많이 고마웠어
잊지 않고 지낼께
니가 있어서 세상도 아름다웠어
좀 늦더라도 꼭 다시 돌아올래
건강한 모습으로
아직 못다준 사랑이 참 많거든
oh oh baby girl my girl
i love you
잘해주지 못했던것
정말 많이도 생각이나
두고두고 미안한걸
왜 그땐 알지 못했는지
가끔 나를 보며 웃던 너
그 눈빛이 보고 싶은걸
너 없이도 내 사랑은
처음처럼 간절한 걸
참 많이 웃고 참 많이 울었잖아
우리 함께 한동안
너를 보면서 영원을 꿈 꿔 왔는데
꼭 믿고 있어 언젠가
내 눈 앞에 돌아올 너라는 걸
그땐 말할께 다신 안보낸다고
늘 미안했어 늘 많이 고마웠어
잊지않고 지낼께
니가 있어서 세상도 아름다웠어
좀 늦더라도 꼭 다시 돌라올래
건강한 모습으로
아직 못 다 준 사랑이 참 많거든
oh oh baby girl my girl
i love you i will wait"
21	"매일 같은 일상에
소리 없이 찾아 온 너
티없이 맑았던
네 모습 볼 때 면
그저 미소 짓 던 나
같은 자리에 앉아
매번 나를 보러와준
너의 그 마음을
지나쳤던
바보같던 그 시간들이
난 너에게
할말이 있어
몰랐었어
힘든 너의 마음을
정말 미칠것만 같아
마지막 니 뒷모습
아직도 아픈 기억으로 머물러있어
흐릿해져만가
좋았던 기억들도
매일 나는 너를 기다려
난 너에게
할말이 있어
몰랐었어
힘든 너의 마음을
정말 미칠것만 같아
마지막 니 뒷모습
아직도 아픈 기억으로 머물러있어
흐릿해져만가
좋았던 기억들도
매일 나는 너를 기다려
우연히라도 마주칠까
나는가끔 텅빈 거릴 서성이곤 해
다시 마주치면 그때처럼
웃으면서 볼수 있을까
너는 잘 지내보여
아직도 남아 있는 너의 아픈 기억들
잊혀질 수 있게
멀리서 바라볼게
햇살처럼 다가온
넌 나의 미래 였어"
22	"어릴 적부터 난
푸른빛의 바다처럼
그저 그런 밝은 I
언제부터일까 난
쓸쓸해도 나보단 남이 중요한 게
나도 알고 있었어
주변 눈치 보며 사는 내게
우울함이 쏟아져 내려와
미움받기 싫어 표현 않는
이런 나를 들킬까 봐 무서워
where i am 선명히 보이지 않는
In the sky 허공에 흩어져 버린
닿지 않는 별들 보며
은하수를 따라 걸어가
아득했던 날 저 멀리 보내고
항상 바른 아이
말 잘 듣고 착하게만 살아야 하는
나는 너무 힘들어
암흑 속에 갇힌 날 좀 봐봐
애써 날 감추며 강한척해
누군가는 나를 찾아주길
하늘 향해 어서 힘껏 외쳐봐
where i am 선명히 보이지 않는
In the sky 허공에 흩어져 버린
닿지 않는 별들 보며
은하수를 따라 걸어가
아득했던 날 저 멀리 보내고
where i am 선명히 보이지 않는
In the sky 저 하늘 지구 끝까지
휘날리는 꽃잎 따라
환상 빛을 보며 걸어가
어두웠던 날 저 멀리 보내고
just me"
23	"작열하는 태양에
끓는 대지 위로
아지랑이 피어나
춤을 추는데
바삐 도는 바늘에
님 놓칠세라
돌아가는 두 눈에
앞이 보이지 않네
밤이 짙어지고
해가 떨어지고
열이 식어가고
나는 제자리에
달이 차오르고
빛이 비쳐오고
열이 식어가고
나는 제자리에
님 기다리네
뒤틀리는 시야에
타는 갈증 위로
신기루는 사라져
믿음은 산산이 부서져가
밤이 짙어지고
해가 떨어지고
열이 식어가고
나는 제자리에
달이 차오르고
빛이 비쳐오고
열이 식어가고
나는 제자리에
산이 무너지고
땅이 갈라지고
열이 식어가면
꽃이 피어나네
달이 차오르고
빛이 비쳐오고
열이 식어가도
나는 제자리에
님 기다리네
님 기다리네"
24	"동화 속 이야기 같은 만남
시련 가득했던 내 삶에
눈부신 그대가 나를 밝게 비춰 주어
행복의 꿈을 나 꾸게 됐죠
하늘의 구름 위를 뛰노는
어린아이 같은 우리 둘
그 무엇도 바랄 게 없죠
믿어지나요 이 모든 순간이
그대와 내가 만들어 갈 시간이
동화 속 이야기처럼
우리의 사랑 노래는
언제나 아름답기만 할 거예요
먼 훗날 이 모든 추억들이
희미해져 그대 슬플 때
이 노래를 불러줄게요
난 감사해요 우리의 사랑이
날 일으켜준 진실한 그 믿음이
그 어떤 순간이라도
두 손 꼭 마주 잡고서
항상 그대 옆에 내가 있을게요
믿어지나요 이 모든 순간이
그대와 내가 만들어 갈 시간이
동화 속 이야기처럼
우리의 사랑 노래는
언제나 아름답기만 할 거예요
언제나 아름답기만 할 거예요
더 많이 행복하기만 할 거예요"
25	"예전에 우린 어떤 맘이었을까
기억이 나지가 않아
행복했었고 즐거웠던 너와 나
이렇게 왜 망가진 걸까
이젠 틀어 저 버린
너와 나 둘뿐이야
한 번 더 볼 수 있을까
뒤를 돌아봐도 보이지 않아
내 품에 안겨울던 너
천 번을 만 번을 더 안아주고 싶은데
아니야
아니야
항상 아름답던 너의 그 미소
어떤 것도 대신할 수는 없었어
알아 다 내 탓이야
애써 아니라고
말하지 마 제발
한 번 더 볼 수 있을까
뒤를 돌아봐도 보이지 않아
내 품에 안겨울던 너
천 번을 만 번을 더 안아주고 싶은데
이젠 안돼
한 번 더 보고 싶은데
뒤를 돌아보면 보이던 우리
한순간 사라져버린 너
천 번을 만 번을 더 돌아보고 있는데
안녕"
26	"그대 자꾸 웃지 말아요
내가 자꾸 착각을 해요
마음 깊이 파고드는 따뜻한 희망
그 안에서 자꾸 행복해져요
그대 마주하고 싶지만
그댈 피하기도 하네요
나쁜 짓도 안 했는데 들킬까 두려움
달콤하고 씁쓸하기도 해요
그대가 웃으면 세상이 환해져요
힘겨운 날들도 견딜 만해지고
놀라운 사실은 행복한 비밀은
누구도 알아채 지 못한다는 거죠
마음이 날아가 그대의 어깨위
소리없이 내려 앉네요
위로 받고 싶을 때에는
자연스레 떠오르네요
그대 환히 웃는 얼굴 그대의 말소리
바빠 보인 뒷모습까지도
그대가 웃으면 세상이 환해져요
힘겨운 날들도 견딜 만해지고
놀라운 사실은 행복한 비밀은
누구도 알아채 지 못한다는 거죠
마음이 날아가 그대의 어깨위
소리없이 내려 앉네요"
27	"Hello My friend
There is no time
So much I want to tell you
Life is too short
Let me ask you a question
How will you live today
if tomorrow disappears
What is your color
What is your voice
If you're good at lying
you won't be lonely
But you may find yourself
the most beautiful
when you are alone
I love my color
I love my voice
I love myself even if it's not
shiny and no one recognizes it
Shout your voice to the world
I hope you find your own
color like that
Hello My friend
There is no time
So much I want to tell you
Life is too short
Let me ask you a question
How will you live today
if tomorrow disappears
Stay true to yourself
Stay true to yourself
I love my color
I love my voice
I love myself even if it's not shiny
and no one recognizes it
Shout your voice to the world
I hope you find your
own color like that
I love myself
Hello Myself
There is no time
So much I want to tell you
Life is too short
Let me ask you a question
How will you live today
if tomorrow disappears
Hello Myself
There is no time
Life is too short"
28	"우린 마주 섰다
나를 본다
답답하다
건너에선
너와 내 거리는
새하얗다
고갤 떨군다
낡은 회상
나이 든 애상
내 어린 날
하늘 참 야속하다
흩어진 공간 속 우리
잘 지냈나요
햐얀 숨 내게 속삭인다
신호가 바뀌고 나면
잠에서 깨어나나요
우리들의 이쁘던 화면
조각들이 날 부를까요
내게 불어온다
스며든다
그때 여름
저녁처럼
기울던 향기가 말을 건다
또 저려온다
가파 온다
달콤했던
꿈을 깬 듯
두 볼이 젖어든다
흩어진 공간 속 우리
잘 지냈나요
햐얀 숨 내게 속삭인다
신호가 바뀌고 나면
잠에서 깨어나나요
우리들의 이쁘던 화면
조각들이 날 부를까요
노란 불로 바뀐다
어두운 새벽 조명등과
토닥이던 너를 어떻게 지워낼까
붉은 불과 포장마차
토닥이던 우리 대화
언제쯤 미워질까"
29	"너의 손 잡고 걷던 여름 날
함께 했던 시간이 무색하게
서로를 바라보면
무작정 끌어안았어
너와 사계절을 보내던 날
맞잡은 손이 어느덧
처음 만날때보다
커진걸 깨달았어
우리 조금은 변했었지
아직 더 사랑해도 되겠지
푸르던 하늘이
어느새 차갑게 변해도
우린 언제나 함께했어
또 다시 우릴
반갑게 비춰주던 달이
손톱만큼 작아져도
우린 여기있자
애석한 시간이 가고
우리 둘만 남았던 밤
서로에게 덮어줬던
이불 하나
푸르던 하늘이
어느새 차갑게 변해도
우린 언제나 함께했어
또 다시 우릴
반갑게 비춰주던 달이
손톱만큼 작아져도"
30	"멀리서 돌아올 것만 같다
아직 이 손은 널 잡은 것 같다
내 귓가엔 아직 머무른 목소리 남아
그 체온에 살아간다
맴돌다 멈춰 그곳에 서서
너 지나갈까 기대를 한다
잠시 우리 머물렀던 이 자리에
눈을 감아 그려본다
하지 못한 그 한 말 바람 따라 날아가 버린
지난 계절과 너의 이름을
난 놓지를 못한다
지워지는 것보다 흐려지는 너의 얼굴에
난 눈을 감아 널 담아두려고 꿈을 꾼다
낯선 날 바라보아도 조금만 조금만
가슴에 스며서 번지고 얼룩 배어
같이 걸었던 그림자 이젠 어두워 사라진
너인가 봐 오오오
꿈이 끝나면 있을 것 같다
이 꿈에 끝이 너 일 것 같다
참아왔던 설움 혼자 지낸 밤이
사라지길 기도한다
하지 못한 그 한 말 바람 따라 날아가 버린
지난 계절과 너의 이름을
난 놓지를 못한다
지워지는 것보다 흐려지는 너의 얼굴에
난 눈을 감아 널 담아두려고
널 기억하려고 널 놓지 못해서
꿈을 꾼다
꿈을 꾼다
꿈을 꾼다"
31	"오늘은 갑자기 비가 왔어
들뜬 기분에 음
산책을 나가볼까 선선하고 좋은 날이야
저 네온사인 빛도 오늘은 별빛같아
어 잠깐만
오늘은 짜증이 좀 나는 날이야
아침부터 재수가 없더라고
비까지 오네 진짜 기분이 안 좋아
어쩐지 오늘따라 출근하기 싫더라고
무슨 일이야 정말 점심 때는
밥도 못먹었어
무슨 말이야 진짜 기획했던 일도
다시 해오라니
갑자기 전화가 왔어
아 뭐야 얜 또 왜 못 만난대
밀린 일 야근하고 집에 가는데
저 멀리 니가 보여 반가워
인사를 하고보니
어디가 오랜만이야
잘 지냈냐고 묻고 싶은데
좋은 기분도 아닌 척 해야할 거 같아
내가 안부인사를 해도 될까"
32	"지칠 때마다 걷던 계단
한 걸음씩 올라갈 때마다
난 혼자라고 생각했었죠
숨도 못 쉬게 아팠던 날들
그런 지친 나에게 찾아와서
먼저 손 내밀어 준 단 한사람
마음을 쉽게 열지 못한 난
계단처럼 천천히 다가갔죠
내가 살아갈 이유를 찾아준 사람
불행을 행복으로 바꿔준 단 한 사람
그 사람이 내 옆에 있는 그대라서
고마워요 늘 나와 함께해 줘서
마음을 쉽게 열지 못해서
거리를 두었던 나
해 맑은 미소 한 번으로
내 마음을 녹인 그 사람
내가 살아갈 이유를 찾아준 사람
불행을 행복으로 바꿔준 단 한 사람
그 사람이 내 옆에 있는 그대라서
고마워요 늘 나와 함께해 줘서
모든 게 끝인 줄만 알았던
내 인생에 나타난 그 사람
내 손을 잡고 힘겨운 삶을
함께해 줘서 고마워요
내 전부를 걸고
사랑해
내 단점을 따뜻이
사랑으로 안아준 사람
세상에서 내게 가장 이쁜
사람입니다
그게 바로 너
영원히 널 사랑해"
33	"어두워진 밤 쉽게 잠 못 드는 그대
무슨 일이 있었나요
다 털어놓고 나에게만 말해 봐요
전부 들어 줄게요
상처가 된 말 너무 담아두지 마요
항상 그대 편이에요
정 힘들면 참지 말고 울어 봐요
내가 안아 줄께요
깊은 밤 시계바늘 소리 포근한 바람
은은한 별빛
아무생각 마요 토닥 토닥
시간을 봐요 잘 시간이 지났어요
한마디만 전할게요
그 어떤 말로 위로 되진 않겠지만
정말 수고했어요
깊은 밤 시계바늘 소리
포근한 바람 은은한 별빛
아무생각 마요 토닥 토닥
가벼워진 맘 보다 평온해진 표정
그 꿈에서 깨질 않길
나 오늘 밤엔 그대 곁을 지킬께요
편히 잘 수 있도록"
34	"요즘 너무나 네가 낯설게 느껴져
어제는 전화도 한 번 없었지
어디니 밥은 먹었냐고 묻는
상냥한 네 말 기다렸는데
아무 말도 없는 너를 보며 느껴
내가 알던 니가 맞는 건지
다른 사람 네게 생긴 건지
이제 더 이상 날 사랑하지 않니
우리 이별인 거니
왜 내가 싫어졌는지
내게 말해줄 순 없니
자꾸만 전화해서 귀찮아진 거니
아직도 난 너를 사랑하고 있는데
난 어떡해 난 어떡해
내가 뭘 잘못한 건지
왜 내가 싫증 나는지
뭘 내가 잘못하고 있는 거라면
말해줄래 네가 말하는
그 모습처럼 고칠게
다 고칠게 떠나지 마
나는 아직도 니가 내 것만 같은데
오늘도 네게 전화를 걸어서
잘 자라 오늘 밤 꿈에서 보잔
달콤한 말 해줄 것 같은데
왜 내가 싫어졌는지
내게 말해줄 순 없니
자꾸만 전화해서 귀찮아진 거니
아직도 난 너를 사랑하고 있는데
난 어떡해 난 어떡해
내가 뭘 잘못한 건지
왜 내가 싫증 났는지
뭘 내가 잘못하고 있는 거라면
말해줄래 니가 말하는
그 모습처럼 고칠게
다 고칠게
왜 그리 차가운 건지
예전에 니가 맞는지
너 전에 만나던 그 사람 때문이니
말해줄래 니가 만나는
그 사람처럼 고칠게
다 고칠게 떠나지 마"
35	"잠시도 혼자는 두지않았던 넌데
차갑게 변했어
다른 사람같던 그 눈빛에
나는 할말을 잃었던거야
헤어질 수 없잖아
여기서 끝낼 수는 없잖아
함께했었던 그 기억속에서
하루하루를 살아가 이대로 못가
아직도 선명해 나를 보는 그 미소
많이 사랑했잖아
이젠 변해버린 그 모습에
나는 눈물만 흘렸던거야
헤어질 수 없잖아
여기서 끝낼 수는 없잖아
함께했었던 그 기억속에서
하루하루를 살아가 이대로 못가
너를어떻게잊어 어떻게지워내니
자신없어나
헤어질 수 없잖아
여기서 끝낼 수는 없잖아
함께했었던 그 기억속에서
하루하루를 살아가 이대로 못가"
36	"비가 내리던 그 날
나의 우산이 되어주던
지금 그대도
저 비를 맞고 있을까요
비가 그치던 곳 에
낡은 무지개처럼
좋았던 기억 가득히
그대를 비추길 바랄게요
지친 나의 밤들에
아무런 의미없이 찾아온
그대의 마음을
익숙한 기다림끝에
날 찾아왔던 그대의 모습을
여기서 그려봐요
비가 내리던 그 날
나의 우산이 되어주던
지금 그대도
저 비를 맞고 있을까요
비가 그치던 곳 에
낡은 무지개처럼
좋았던 기억 가득히
그대를 비추길 바랄게요
텅빈 밤에 내려앉아
조용히 나를 안으며
사랑한다던 그 날의 서툰 흔적들도
다 잊은듯이 살아가요
언젠가 그 날을 마주한다면
우리 모른 척 스쳐가요
비가 내리던 그 날
나의 우산이 되어주던
지금 그대도
저 비를 맞고 있을까요
비가 그치던 곳 에
낡은 무지개처럼
좋았던 기억 가득히
그대를 비추길 바래
서롤 바라보다
지친 시간들은
모두 다 접어둔채로
그댈 기억할게요
비가 내리던 그 날
비가 내렸던 그 날
서롤 따스히 안아주던
그 날의 우린
어디서 잃게 됐을까요
비가 그쳤던 곳 엔
아직 그대 추억이 남아있죠
우리가 사랑한 시간들
끝나지 않았던 이별들
이제 우리 마지막 안녕"
37	"학교 가는 길에 그녀와 마주칠까
두근대던 시절
나보며 웃어주던 그 여자아이
새하얀 피부에
착한 얼굴에 당당한 모습에 반해
심장이 콩알만했던 꼬맹이는
말 한마디 못해보고
그저 바라만 보네
그러다 시간은 흘러
서로 다른길로
그 여자아인
잘지내고 있을지
지금쯤 엄마가 되어있을 그녀
이뻤던 모습 그대로 간직하고 있을지
조금이라도 친해지면 좋았는데
용기내지 못해
그저 지나간 세월 아쉬워 하네
옛날 옛날이여
이름한번 제대로
불러보지도 못했던 세월
심장이 콩알만했던 꼬맹이는
말 한마디 못해보고
그저 바라만 보네
그러다 시간은 흘러
서로 다른길로
그 여자아인
잘지내고 있을지
집 가는 길 방향이 같을때면
뒤에 있음 조금이라도 늦게 걸었고
앞에 있음 조금이라도 빨리 걸었고
한번더 인사하려하고 그랬지
옛날 옛날이여
이름한번 제대로
불러보지도 못했던 세월
심장이 콩알만했던 꼬맹이는
말 한마디 못해보고
그저 바라만 보네
그러다 시간은 흘러
서로 다른길로
그 여자아인
잘지내고 있을지"
38	"추운 겨울 앙상한 모습
누구도 찾지 않아
우거진 숲도 그늘도 없는
초라한 내 가지에 핀 너는 누굴까
새하얀 작은 꽃
사람들은 하나 둘씩 여길 찾아와
이 꽃을 보러 왔나봐
보잘 것 없다고
외롭게 지나 온 시간도
이젠 끝인가봐
내 가지에 달린 꽃 아래
사랑하고 행복해보여
아직 쌀쌀하지만 덕분에 춥지 않은걸
이 겨울 끝나간 소식 말하네
비가 내리고 봄이 왔는데
너무도 힘없이 쉽게 떨어진 꽃 보며
긴 장맛비 견디도록
푸른 잎을 피워 내 본다
뜨거운 햇볕 견디다 보니
내 이름도 잊어가지만
우거진 숲이 그늘 돼 네 곁에 있어
든든히 서있는 나는 행복해
이제 열매를 맺으려는데
누구도 예뻤던 나의 꽃을 기억 못해
쌀쌀해진 밤 공기에
나 낙엽이 되어만 간다
하나 둘 떨어져 다시 앙상해지고
모두다 내 곁을 떠나가
다시 내 예전 모습 텅 빈 외로움으로
기다릴 자신 없어
이제 겨울이 찾아올거야
나에게도 너에게도
견뎌내기 힘든 추위
긴 겨울이 끝날 때쯤
제일 먼저 다시 봄 찾아온다는 소식
네게 전할 꽃 피워 낼게"
39	"여름에는 아이스커피
겨울엔 따뜻한 커피 같은 너
달콤하게 내 맘을 흔들고
때론 쓰게 때론 달게
매력 있네
알 듯 말 듯 쉽지 않은 너
네 향기가 날 설레이게 해
커피 같이 내 맘을 흔들고
때론 쓰게 때론 달게 매력 있네
너를 닮은 커피 내게로 온 커피
그래서 나의 잠 못 드는 밤은 시작됐지요
너를 닮은 커피 내게로 온 커피
두근두근 떨려 나 와 너
산뜻 하게 아메리카노
부드러운 바닐라라떼 처럼
나도 몰래 내 맘에 찾아와
어느새 난 너 없이는 못살겠어
자꾸 자꾸 아른거려 너
별거 아닌 너였었는데
어느새 또 내 맘을 흔들고
산뜻하게 부드럽게
매력 있네
너를 닮은 커피 내게로 온 커피
그래서 나의 잠 못 드는 밤은 시작됐지요
너를 닮은 커피 내게로 온 커피
두근두근 떨려 나 와 너
때론 데일 정도로 뜨거워 너
그래도 멀리 할 수 없어
하루 라도 빠짐
안되는 너
잠 못 드는 이 밤이라도
너를 닮은
너를 닮은
너를 닮은
너를 닮은
우
두근두근 떨려 나 와 너
너를 닮은 커피 내게로 온 커피
그래서 나의 잠 못 드는 밤은 시작됐지요
너를 닮은 커피 내게로 온 커피
두근두근 떨려 나 와 너
너를 닮은 커피 내게로 온 커피
그래서 나의 잠 못 드는 밤은 시작됐지요
너를 닮은 커피 내게로 온 커피
두근두근 떨려 나 와 너
두근두근 떨려 나 와 너
두근두근 떨려 나 와 너"
40	"날 두고 가지마
아 물론 아냐 강요
난 무서워 너가 없이 이 길을 걷는 게
걸을 수 없어 너 없이는
물 없는 사막과 같아
볼 수 없어 너 없이는
불빛 없는 밤과 같아
후회 라는 걸 해도 나는 너무 늦었고
바보같은 짓을 한 나는 원망스러워
돌리고 싶어도 방법이 없고
너에게 꽂아놓은 못은 뺄 수가 없어
Can’t do without you
Can’t do without you
Can’t do without you
Can’t do without Can’t do with out
Can’t do without you
Can’t do without you
Can’t do without you
Can’t do without Can’t do without
Can’t do without you
나는 아무것도 못해
괜찮은 척 하는 것도
계속 텅 비워 냅둘테니
너무 멀리 가지마요
남은 것도 없고 너는 그때 다
내게 줬고 뭣도 없는
나는 지금에야 쓰라려요
좀 더 어른 같을 순 없었나
너무 어린 세훈이는 멍청한
몇 년이 지나도 여전해
나에게 꽂혀있는 못을 뺄 수가 없어
Can’t do without you
Can’t do without you
Can’t do without you
Can’t do without Can’t do without
Can’t do without you
Can’t do without you
Can’t do without you
Can’t do without Can’t do without
Can’t do without you
너의 기억을 함께 했었던
나의 마지막 까지도
With you
Can’t do without you
Can’t do without you
Can’t do without you
Can’t do without Can’t do without
Can’t do without you
Can’t do without you
Can’t do without you
Can’t do without Can’t do without
Can’t do without you"
41	"밤 이 오면 떠오르는 너
잠을 못자 한숨만 쉬는 나
철없던 내가 널 떠올려
그땐 하지못한말
이젠 해보려고해
그 날에 서로 보고 있으면
참 행복했잖아 너무 좋왔었잖아
그 때에 너와 내가 웃으면서
마주보던 그때로 돌아와줘
너에게 느꼈던 감정은
한순간도 난 널 잊지 못해
철없던 날 떠올려줄래
그 땐 하지 못한 말
이젠 말해보려고해
그날에 서로 보고있으면
참 행복했잖아 너무 좋왔어잖아
그 때에 너와 내가 웃으면서
마주 보던 그때로 돌아와줘
우리가 왜 헤어져야해
내가 더 잘할테니
한번만 나를 믿어줄래
그날에 아직 함께였다면
우린 행복했을까 많이 사랑했을까
그 때로 돌아가면 웃으면서
너를 보고싶다고
아직 사랑한다고
마주보던 그때로
돌아와줘"
42	"조금만 나를 기억해 줘요
조금만 더 곁에 있어줘요
어쩌면 그대도 나와 같은 마음일까요
이별이 못내 아쉬운 가요
우리 다시는 사랑하지 마요
이렇게 아픈 사랑하지 마요
그대밖에 모르던 내가
나밖에 모르던 그대가
이렇게도 많이 울었으니
이제 그만해요
우연히 그댈 만난다면
물어보고 싶은 말이 있겠죠
그때 나보다 그대 날 더 사랑했는데
어떻게 잊고 지냈었냐고
우리 다시는 사랑하지 마요
이렇게 아픈 사랑하지 마요
그대밖에 모르던 내가
나밖에 모르던 그대가
이렇게도 많이 울었으니
끝났다고 말하기가 못내 아쉬워서
한참을 울었던 나였으니까
이렇게 아픈 사랑하지 마요
행복하기만 바랬던 우리인데
그저 혼자라는 생각에
자꾸 두려워만 지네요
그대와 나 서로만 바라봤던
그때가 그리워요"
43	"I couldn’t really tell you
what I want to say
I’m grateful for the promises
you didn’t make
Trying to understand who I wanna be
And who you want me to be
Disappointment didn’t
bother either one of us
We always chose to
care for the ones we love
Regardless of what it is to really love
Trust me the irony isn’t lost on me
Someday in this song I’ll find
A reason I fight to survive
A reason I can feel alive
Dwelling in farewells
and unspoken cries
Faith is a lie but love never dies
Daddy you’re the closest thing
to God I know
I know you aren’t perfect
but you could’ve tried to be
I’ve tested my luck a lot
more than you know
But would you wanna know
Mama you didn’t age the way
you’d promised to
When you were 23 just like me
Were you ever the way
that I used to be
You and I are both aware
that you still dream
Someday in this song I’ll find
The reason I fight to survive
The reason I can feel alive
Dwelling in farewells
and unspoken cries
Faith is a lie but love never dies
Mistakes I know have been made
I know I’m flawed broken beyond
But I know my will
and desire won’t fail
‘Cause faith is a lie
but love never dies"
44	"I'm In Love Again
지난날 아픔은 잊어
익숙한 그대 향기가 맴돌아
I'm In Love with You
끝이 없는 어둠 속에
흐릿해져 가는 아픈 기억들 잊을래
아무렇지 않은 척 내 손 잡아줄래
유난히 시리도록 아픈 이 밤이야
숨 쉴 수가 없어 견디기조차
난 너무 힘이 들어서
너의 품에 다시 안길래
시간이 지나 수많은 상처들이
고장 난 시곗바늘처럼 멈춰서서
또 우네
I'm In Love Again
지난날 아픔은 잊어
익숙한 그대 향기가 맴돌아
I'm In Love with You
끝이 없는 어둠 속에
흐릿해져 가는 아픈 기억들 잊을래
불 꺼진 작은 방
우두커니 날 비추는 저 달빛도
유난히 쓸쓸해 보이네
내 주윌 감싸는 아픈 기억들이
차가운 바람처럼 날 또 스쳐 가네
I'm In Love Again
지난날 아픔은 잊어
익숙한 그대 향기가 맴돌아
I'm In Love with You
끝이 없는 어둠 속에
흐릿해져 가는 아픈 기억들 잊을래
날 향한 눈빛 포근했던 너의 그 미소
가슴속 깊은 흔적으로 남아
지울 수 없는 너와의 지난 추억들이
오늘 밤 왠지 더 그리워지네
이젠 나 널 놓지 않을래"
45	"이제 더 이상 우리 만나지마요
나는 그댈 이제 보내려해요
그대가 싫어졌어요
이기적인 나라서
인사조차 못하고 떠나요
난 그대가 불편해서
난 그대가 미워져서
더 이상 그대를 보기 싫어요
내가 그대의 사랑이
될 수 없다는 것을
이제야 깨달았죠
아파도 떠나야겠죠
그대를 놓지 않으면
나는 죽을 것 같이 더 아플 테니
난 그대가 걱정 되도
난 그대가 그리워도
이제는 그러면 안 되는 거죠
내가 그대의 사랑이
될 수 없다는 것을
이제는 알 수 있죠
아파도 떠나야겠죠
나 혼자 사랑하는 게
평생 죽을 것 같이 더 아플 테니
나 사라진대도 보이지 않는대도
그댄 아파하지 말아요
내가 그대의 사랑이
될 수 없단 사실이 이렇게 아픈걸요
죽어도 난 아닌가요
이렇게 사랑하는데
그대 사랑이 될 순 없는 건가요"
46	"언제나 이맘때
하늘 위로 번져오는 소리가
설렘과 처음 만난 장솔
다시금 떠오르게 하죠
우린 영원 하잔 약속처럼
봄엔 꽃잎들이 날리고
여름엔 바닷속에 빠지고
가을이 되면
괜스레 옆구리 시렸다 가도
겨울이 되면 이불 속 귤이
나를 위로해줘
결국엔 변해
모두 다 변해 하지만
돌아올 거라 믿어
사실은 바래
욕심이라면 항상
내 옆에 있어 주길
차가운 표정 지었다가도
다시 활짝 피어나는
자연스러운 미소를
내 눈에 풍덩 비춰줘
결국엔 변해
모두 다 변해 하지만
돌아올 거라 믿어
사실은 바래
욕심이라면 항상
내 옆에 있어 주길
차가운 표정 지었다가도
다시 활짝 피어나는
자연스러운 미소를
내 눈에 풍덩 비춰줘
애쓰지 않아도 되는 사이
1년 365일 편한 자리
기뻐도 슬퍼도 싫어도 미워도
다음날 해와 손잡은 아침처럼
난 너를 비출 게
밤엔 달이 돼 줄게
추우면 춥게 더우면 덥게
시간의 흐름을 즐겨볼래
뭐가 아쉬워서
자신을 힘들게 하는지
나는 지금도 이해가 안 돼
채우면 뭐 해 가득히
아름드리나무 앞에 서서
뭐든지 물어봐
푸른 하늘에 꿈을 실어 간 구름도
웃음 지으며 우릴 볼 거야
봄엔 푸른 잎이 날리고
여름엔 밤하늘의 별들과 사진도
가을이 되면
지나간 시간이 그립다가도
겨울이 되면 붕어빵의
온기가 다독여줘
결국엔 변해
모두 다 변해 하지만
돌아올 거라 믿어
사실은 바래
욕심이라면 항상
내 옆에 있어 주길
차가운 표정 지었다가도
다시 활짝 피어나는
자연스러운 미소를
내 눈에 풍덩 비춰줘
결국엔 변해
모두 다 변해 하지만
돌아올 거라 믿어
사실은 바래
욕심이라면 항상
내 옆에 있어 주길
차가운 표정 지었다가도
다시 활짝 피어나는
자연스러운 미소를
내 눈에 풍덩 비춰줘"
47	"소리 없는 별처럼
난 맴돌고 있어 Baby
숨겨지지 않는 모든 건
한 곳만 향해
Why don't you know
길고 길었던 밤이 쌓여갈수록
깊어진 내 맘을
온통 벅차고 때론 거짓말 같은
너라는 순간들
Don’t let me be away from your heart
Let me in so I can be with you
이뤄질 수 없는 꿈이라도 난 괜찮아
So please now
그저 멀어지지 마 Baby baby
Already know
전하지 못한 말을 삼켜낼수록
커가는 내 맘을
I don’t wanna cry
애써 달래보지만
더 간절해져가
Don’t let me be away
from your heart
Let me in so I can be with you
이뤄질 수 없는 꿈이라도 난 괜찮아
So please now
그저 멀어지지 마 Baby
한걸음 뒤에 여기 있는 날
한 번쯤은 돌아볼 수 있길
You are my everything and all
믿어지지 않겠지만
You’re the only one that I can love
Don’t let me be away from your heart
Let me in so I can be with you
언제라도 이 맘을 난 꼭 지켜낼테니
So please now
절대 멀어지지 마 Baby baby"
